sales_date,metric_name,amount
2024-01-01,Gross sales,0.00
2024-01-01,Refunds,0.00
2024-01-01,Net sales,0.00
2024-01-01,Overpayments,0.00
2024-01-01,Taxes expected,0.00
2024-01-01,Taxes collected,0.00
2024-01-01,Tips,0.00
2024-01-01,Amount collected,0.00
2024-01-01,Unpaid balance,0.00
2024-01-02,Gross sales,0.00
2024-01-02,Refunds,0.00
2024-01-02,Net sales,0.00
2024-01-02,Overpayments,0.00
2024-01-02,Taxes expected,0.00
2024-01-02,Taxes collected,0.00
2024-01-02,Tips,0.00
2024-01-02,Amount collected,0.00
2024-01-02,Unpaid balance,0.00
2024-01-03,Gross sales,2083.19
2024-01-03,Refunds,0.00
2024-01-03,Net sales,2083.19
2024-01-03,Overpayments,0.00
2024-01-03,Taxes expected,191.79
2024-01-03,Taxes collected,191.79
2024-01-03,Tips,22.73
2024-01-03,Amount collected,2297.71
2024-01-03,Unpaid balance,0.00
2024-01-04,Gross sales,2243.84
2024-01-04,Refunds,0.00
2024-01-04,Net sales,2243.84
2024-01-04,Overpayments,0.00
2024-01-04,Taxes expected,203.35
2024-01-04,Taxes collected,203.35
2024-01-04,Tips,46.39
2024-01-04,Amount collected,2493.58
2024-01-04,Unpaid balance,0.00
2024-01-05,Gross sales,2802.67
2024-01-05,Refunds,0.00
2024-01-05,Net sales,2802.67
2024-01-05,Overpayments,0.00
2024-01-05,Taxes expected,257.80
2024-01-05,Taxes collected,257.80
2024-01-05,Tips,58.25
2024-01-05,Amount collected,3118.72
2024-01-05,Unpaid balance,0.00
2024-01-06,Gross sales,2740.08
2024-01-06,Refunds,0.00
2024-01-06,Net sales,2740.08
2024-01-06,Overpayments,0.00
2024-01-06,Taxes expected,249.73
2024-01-06,Taxes collected,249.73
2024-01-06,Tips,50.90
2024-01-06,Amount collected,3040.71
2024-01-06,Unpaid balance,0.00
2024-01-07,Gross sales,2762.58
2024-01-07,Refunds,0.00
2024-01-07,Net sales,2762.58
2024-01-07,Overpayments,0.00
2024-01-07,Taxes expected,250.70
2024-01-07,Taxes collected,250.70
2024-01-07,Tips,30.79
2024-01-07,Amount collected,3044.07
2024-01-07,Unpaid balance,0.00
2024-01-08,Gross sales,1756.10
2024-01-08,Refunds,0.00
2024-01-08,Net sales,1756.10
2024-01-08,Overpayments,0.00
2024-01-08,Taxes expected,158.90
2024-01-08,Taxes collected,157.89
2024-01-08,Tips,31.96
2024-01-08,Amount collected,1945.95
2024-01-08,Unpaid balance,0.00
2024-01-09,Gross sales,0.00
2024-01-09,Refunds,0.00
2024-01-09,Net sales,0.00
2024-01-09,Overpayments,0.00
2024-01-09,Taxes expected,0.00
2024-01-09,Taxes collected,0.00
2024-01-09,Tips,0.00
2024-01-09,Amount collected,0.00
2024-01-09,Unpaid balance,0.00
2024-01-10,Gross sales,1928.81
2024-01-10,Refunds,0.00
2024-01-10,Net sales,1928.81
2024-01-10,Overpayments,0.00
2024-01-10,Taxes expected,176.19
2024-01-10,Taxes collected,176.19
2024-01-10,Tips,43.70
2024-01-10,Amount collected,2148.70
2024-01-10,Unpaid balance,0.00
2024-01-11,Gross sales,1971.72
2024-01-11,Refunds,0.00
2024-01-11,Net sales,1971.72
2024-01-11,Overpayments,0.00
2024-01-11,Taxes expected,179.36
2024-01-11,Taxes collected,179.36
2024-01-11,Tips,40.12
2024-01-11,Amount collected,2191.20
2024-01-11,Unpaid balance,0.00
2024-01-12,Gross sales,2652.80
2024-01-12,Refunds,0.00
2024-01-12,Net sales,2652.80
2024-01-12,Overpayments,0.00
2024-01-12,Taxes expected,244.94
2024-01-12,Taxes collected,244.94
2024-01-12,Tips,29.95
2024-01-12,Amount collected,2927.69
2024-01-12,Unpaid balance,0.00
2024-01-13,Gross sales,2511.85
2024-01-13,Refunds,0.00
2024-01-13,Net sales,2511.85
2024-01-13,Overpayments,0.00
2024-01-13,Taxes expected,233.63
2024-01-13,Taxes collected,233.63
2024-01-13,Tips,31.75
2024-01-13,Amount collected,2777.23
2024-01-13,Unpaid balance,0.00
2024-01-14,Gross sales,2812.97
2024-01-14,Refunds,0.00
2024-01-14,Net sales,2812.97
2024-01-14,Overpayments,0.00
2024-01-14,Taxes expected,254.65
2024-01-14,Taxes collected,254.65
2024-01-14,Tips,39.36
2024-01-14,Amount collected,3106.98
2024-01-14,Unpaid balance,0.00
2024-01-15,Gross sales,1634.11
2024-01-15,Refunds,0.00
2024-01-15,Net sales,1634.11
2024-01-15,Overpayments,0.00
2024-01-15,Taxes expected,150.52
2024-01-15,Taxes collected,150.52
2024-01-15,Tips,33.24
2024-01-15,Amount collected,1817.87
2024-01-15,Unpaid balance,0.00
2024-01-16,Gross sales,0.00
2024-01-16,Refunds,0.00
2024-01-16,Net sales,0.00
2024-01-16,Overpayments,0.00
2024-01-16,Taxes expected,0.00
2024-01-16,Taxes collected,0.00
2024-01-16,Tips,0.00
2024-01-16,Amount collected,0.00
2024-01-16,Unpaid balance,0.00
2024-01-17,Gross sales,1875.05
2024-01-17,Refunds,0.00
2024-01-17,Net sales,1875.05
2024-01-17,Overpayments,0.00
2024-01-17,Taxes expected,172.21
2024-01-17,Taxes collected,172.21
2024-01-17,Tips,40.92
2024-01-17,Amount collected,2088.18
2024-01-17,Unpaid balance,0.00
2024-01-18,Gross sales,2168.22
2024-01-18,Refunds,0.00
2024-01-18,Net sales,2168.22
2024-01-18,Overpayments,0.00
2024-01-18,Taxes expected,199.59
2024-01-18,Taxes collected,199.59
2024-01-18,Tips,28.02
2024-01-18,Amount collected,2395.83
2024-01-18,Unpaid balance,0.00
2024-01-19,Gross sales,2784.69
2024-01-19,Refunds,0.00
2024-01-19,Net sales,2784.69
2024-01-19,Overpayments,0.00
2024-01-19,Taxes expected,254.33
2024-01-19,Taxes collected,254.33
2024-01-19,Tips,68.16
2024-01-19,Amount collected,3107.18
2024-01-19,Unpaid balance,0.00
2024-01-20,Gross sales,3151.20
2024-01-20,Refunds,0.00
2024-01-20,Net sales,3151.20
2024-01-20,Overpayments,0.00
2024-01-20,Taxes expected,292.92
2024-01-20,Taxes collected,292.92
2024-01-20,Tips,76.99
2024-01-20,Amount collected,3521.11
2024-01-20,Unpaid balance,0.00
2024-01-21,Gross sales,2733.45
2024-01-21,Refunds,0.00
2024-01-21,Net sales,2733.45
2024-01-21,Overpayments,0.00
2024-01-21,Taxes expected,250.77
2024-01-21,Taxes collected,250.77
2024-01-21,Tips,45.10
2024-01-21,Amount collected,3029.32
2024-01-21,Unpaid balance,0.00
2024-01-22,Gross sales,1616.00
2024-01-22,Refunds,0.00
2024-01-22,Net sales,1616.00
2024-01-22,Overpayments,0.00
2024-01-22,Taxes expected,147.23
2024-01-22,Taxes collected,147.23
2024-01-22,Tips,25.62
2024-01-22,Amount collected,1788.85
2024-01-22,Unpaid balance,0.00
2024-01-23,Gross sales,1965.68
2024-01-23,Refunds,0.00
2024-01-23,Net sales,1965.68
2024-01-23,Overpayments,0.00
2024-01-23,Taxes expected,181.19
2024-01-23,Taxes collected,181.19
2024-01-23,Tips,35.54
2024-01-23,Amount collected,2182.41
2024-01-23,Unpaid balance,0.00
2024-01-24,Gross sales,2015.54
2024-01-24,Refunds,0.00
2024-01-24,Net sales,2015.54
2024-01-24,Overpayments,0.00
2024-01-24,Taxes expected,182.44
2024-01-24,Taxes collected,182.44
2024-01-24,Tips,48.45
2024-01-24,Amount collected,2246.43
2024-01-24,Unpaid balance,0.00
2024-01-25,Gross sales,2260.05
2024-01-25,Refunds,0.00
2024-01-25,Net sales,2260.05
2024-01-25,Overpayments,0.00
2024-01-25,Taxes expected,207.34
2024-01-25,Taxes collected,207.34
2024-01-25,Tips,27.28
2024-01-25,Amount collected,2494.67
2024-01-25,Unpaid balance,0.00
2024-01-26,Gross sales,2816.85
2024-01-26,Refunds,0.00
2024-01-26,Net sales,2816.85
2024-01-26,Overpayments,0.00
2024-01-26,Taxes expected,257.21
2024-01-26,Taxes collected,257.21
2024-01-26,Tips,51.21
2024-01-26,Amount collected,3125.27
2024-01-26,Unpaid balance,0.00
2024-01-27,Gross sales,2953.61
2024-01-27,Refunds,0.00
2024-01-27,Net sales,2953.61
2024-01-27,Overpayments,0.00
2024-01-27,Taxes expected,273.79
2024-01-27,Taxes collected,273.79
2024-01-27,Tips,45.37
2024-01-27,Amount collected,3272.77
2024-01-27,Unpaid balance,0.00
