Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
LJQ3BVDTUUAFQ,Glazed Donut,7,7,$0.00,Fixed,7,$0.00,3068,DON-848,"-2,403",No,Yes,No,,Donuts Mod,Donuts,7,,
TDXAYHS3B74DC,Chocolate Donut,,,$0.00,Fixed,7,$0.00,,,-1,No,Yes,No,,Donuts Mod,,7,,
Q77C7YGEKB7Q2,Icing Donuts,7,,$0.89,Fixed,7,$0.28,7,SKU-679,-19,No,Yes,No,,Donuts Mod,,7,,
492RRFA5WREZY,Blueberry Cake,7,7,$0.00,Fixed,7,$0.00,3743,DON-897,"-1,153",No,Yes,No,,Sprinkle,Donuts,7,,
UYG7AM826CKPT,Old Fashioned Cake,7,,$0.00,Fixed,7,$0.00,7,DON-696,"-9,664",No,Yes,No,,Donuts Mod,Donuts,7,,
5CJLXBZK8STMR,Vanilla Cake,,,$0.00,Fixed,7,$0.00,,,-11,No,Yes,No,,Donuts Mod,,7,,
JUDZBLUTSZERL,Jelly Fill,7,,$0.00,Fixed,7,$0.00,7,DON-518,"-13,186",No,Yes,No,,Jelly Fill,Donuts,7,,
,,,,,,,,,,,,,,,Add Cream/jelly,,,,
H4QFRPVJLA2VT,Glazed & Chocolate Mix,,,$0.00,Fixed,7,$0.00,,,-10,No,Yes,No,,,,7,,
D7F4SJADVFJHV,Cinnamon Roll,7,,$0.00,Fixed,7,$0.00,6700,DON-340,"-11,483",No,Yes,No,,Cinnamon Roll,Donuts,7,,
,,,,,,,,,,,,,,,Nuts Roll & Rossana,,,,
S5N66YPX5RASS,Butter Roll,,,$0.00,Fixed,7,$0.00,,,23,No,Yes,No,,,,7,,
MK76D27LTM34L,Long John,7,,$1.29,Fixed,7,$0.54,7,7,-21,No,Yes,No,,,,7,,
